전국,576,559,385,294,420,747,147
서울,82,100,57,40,60,94,25
부산,9,14,2,3,8,7,2
대구,13,2,3,1,2,2,2
인천,82,87,48,46,63,126,18
광주,5,4,5,0,0,5,1
대전,3,5,3,3,9,6,1
울산,4,2,3,3,3,1,3
경기,325,294,227,175,236,434,83
강원,11,15,12,8,15,29,1
충북,3,7,5,3,3,2,0
충남,8,9,7,4,3,8,0
전북,5,3,4,1,3,6,1
전남,6,0,1,4,5,14,4
경북,3,5,3,2,5,6,3
경남,13,8,4,1,3,5,3
제주,3,3,0,0,1,2,0
세종,1,1,1,0,1,0,0
